"postTitle","postDescription","text","likesCount","facebookUrl"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Bác  Chính được cả triệu triệu trái tim yêu quý và ngưỡng mộ, đúng là cứ hỏi người dân sẽ rõ, người ta không thờ nhầm ai bao giờ...!","5","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"thủ tướng của lòng dân .đối nội đối ngoại ,điều hành kinh tế quá đỉnh","6","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Cả trăm triệu nhân dân việt nam vẫn thích bác làm thêm khoá nữa để chèo lái giang sơn hùng cường vững trắc bác thủ tướng vì dân vì nước ko ngại hiểm nguy","21","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Những câu nói ấn tượng của Thủ tướng Phạm Minh Chính:

1. Nhìn xa trông rộng, nghĩ sâu làm lớn
2. Chỉ bàn làm, không bàn lùi
3. Làm ngày không đủ, tranh thủ làm đêm
4. Làm ngày, làm đêm, làm thêm ngày nghỉ
5. Vượt nắng, thắng mưa, thực hiện ba ca, bốn kíp
6. Không nói không, không nói khó, không nói có mà không làm.
7. Biến không thành có, biến khó thành dễ, biến không thể thành có thể.

Cảm ơn Thủ tướng Phạm Minh Chính. Nhiệm kỳ của Thủ tướng là nhiệm kỳ không nghỉ! ❤","15","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Bác nghỉ là chuỗi phát triển trên nền tảng phát huy tuổi trẻ tiếp nối không còn, hi vọng Bác tiếp sức cho sự nghiệp vươn mình của Đất Nước.","0","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Một thủ tướng vì dân, vì nước.","10","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Một con ng vì dân vì nc một nhân cách mà các nhà lãnh đạo sau cần học hỏi để dân đc nhờ.","8","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Không có Chú Chính thì sân bay Long Thành ko được như hiện tại","10","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Rời chính trường trong danh dự mà hơn 100 triệu dân VN kính trọng và ngưỡng mộ","5","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
"Thủ tướng Phạm Minh Chính là người cuối cùng rời khỏi bục Đoàn Chủ tịch Đại hội và cũng là người cuối cùng phát biểu tại Đại hội Đảng XIV.

Bác Chính sẽ còn đảm nhiệm chức Thủ tướng cho đến sau kỳ bầu cử Đại biểu Quốc hội khóa XVI vào khoảng tháng 3 - 4/2026. Sau đó, Quốc hội khóa XVI mới sẽ bầu Thủ tướng mới.

Vẫn còn khoảng hơn 2 tháng nữa, bác Chính vẫn sẽ giám sát các công trường trọng điểm, tham gia các dự án quan trọng khác nữa. Nhất là các công trình trọng điểm phục vụ APEC 2027.",,"Cả nước biết ơn TT Phạm Minh Chính. Quê hương Thanh Hóa tự hào về ông. Kính chúc ông luôn khỏe mạnh, hạnh phúc và tràn đầy niềm vui bên con cháu !","7","https://www.facebook.com/100082081114673/posts/th%E1%BB%A7-t%C6%B0%E1%BB%9Bng-ph%E1%BA%A1m-minh-ch%C3%ADnh-l%C3%A0-ng%C6%B0%E1%BB%9Di-cu%E1%BB%91i-c%C3%B9ng-r%E1%BB%9Di-kh%E1%BB%8Fi-b%E1%BB%A5c-%C4%91o%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91%E1%BA%A1i-h%E1%BB%99i-/892054943540535/"
