"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
,,"0",,,"Không thể bóp méo sự thật về công tác nhân sự của Đảng và Nhà nước Việt Nam","video",,
,,"0",,,"Vận mệnh tuổi Tý năm 2026: Sự nghiệp khó khăn, tình duyên trắc trở","video",,
,,"0",,,"Trung Quốc điều tra 2 Thượng tướng quân đội vì nghi ngờ vi phạm nghiêm trọng | Ninh Bình Digital","video",,
"@sydinhtruong8283","Trump từ chức mọi vấn đề sẽ nhẹ đi","3","https://www.youtube.com/watch?v=gyzOtqmQJnM","0","🔴Tin Nóng Nước Mỹ: Ông Trump ‘1 mũi tên trúng 2 đích’ – Chính phủ hồi sinh, Phe Dân chủ tự đấu đá!","comment",,"0"
"@nguyenhoang-HT","XIN CHÚA VÀ MẸ MARIA BSN CHO TTTRUM VƯỢT QUA NGUY HIỄM . MỌI SỰ NHỜ ƠN CHÚA VÀ MẸ MARIA","3","https://www.youtube.com/watch?v=gyzOtqmQJnM","0","🔴Tin Nóng Nước Mỹ: Ông Trump ‘1 mũi tên trúng 2 đích’ – Chính phủ hồi sinh, Phe Dân chủ tự đấu đá!","comment",,"0"
"@nguyenhoang-HT","ĐẢN DÂN CHỦ LÚC NÀO CŨNG MUỐN HẠI TTTRUM  VÀ NỘI CÁC TT","3","https://www.youtube.com/watch?v=gyzOtqmQJnM","0","🔴Tin Nóng Nước Mỹ: Ông Trump ‘1 mũi tên trúng 2 đích’ – Chính phủ hồi sinh, Phe Dân chủ tự đấu đá!","comment",,"0"
"@TranPhuong-h5b","❤❤❤NAM MÔ A DI ĐÀ PHẬT 🙏❤con xin cầu nguyện cho thế hòa bình tiêu tai giải nạn ❤🙏 cầu cho nhà nhà người người hướng về thiện lành từ bi yêu thương.như lời Phật dạy cùng nhau niệm Phật cầu giải thoát trong một đời này.NAM MÔ A DI ĐÀ PHẬT 🙏🙏🙏","7","https://www.youtube.com/watch?v=-WSeyh1NCgk","1","Sấm Truyền Bính Ngọ 2026: Vanga và Trạng Trình Đã Nhìn Thấy ""Thiên Cơ"" Gì Về Vận Mệnh Việt Nam?","comment",,"1"
"@thimylele1851","Nam mô bổn sư thích ca mâu Ni Phật nằm mô a Di da phat","7","https://www.youtube.com/watch?v=-WSeyh1NCgk","1","Sấm Truyền Bính Ngọ 2026: Vanga và Trạng Trình Đã Nhìn Thấy ""Thiên Cơ"" Gì Về Vận Mệnh Việt Nam?","comment",,"1"
"@VânYến-x6y6v","Nhà nc vn đang cướp tiền quà của các nc tặng tôi. Nhà nc và dân có đoàn kết đc ko? Nhà nc vn là những con quỷ đội lớp người thôi nhé","7","https://www.youtube.com/watch?v=-WSeyh1NCgk","0","Sấm Truyền Bính Ngọ 2026: Vanga và Trạng Trình Đã Nhìn Thấy ""Thiên Cơ"" Gì Về Vận Mệnh Việt Nam?","comment",,"0"
"@KimPhuongHoThi-pz3je","Người có lương tri là người nhận thức được đâu là thiện đâu là ác chứ không hùa theo đám đông vì đám đông thì thường có suy nghĩ nông cạn, và đó là điều satan muốn , chúng muốn đầu óc con người luôn mụ mị thì chúng sẽ dễ điều khiển nhưng chúng đâu nghĩ  rằng cái gì trên đời này cũng phải có lúc kết thúc , bất cứ sự vật nào trên thế gian này đều không thể trường tồn vĩnh viển","7","https://www.youtube.com/watch?v=-WSeyh1NCgk","1","Sấm Truyền Bính Ngọ 2026: Vanga và Trạng Trình Đã Nhìn Thấy ""Thiên Cơ"" Gì Về Vận Mệnh Việt Nam?","comment",,"1"
"@Kienthucdoisong4.0","Cầu gia đình mình luôn bình an!!❤","7","https://www.youtube.com/watch?v=-WSeyh1NCgk","0","Sấm Truyền Bính Ngọ 2026: Vanga và Trạng Trình Đã Nhìn Thấy ""Thiên Cơ"" Gì Về Vận Mệnh Việt Nam?","reply",,"0"
"@bhttv2025","Điểm nóng quốc tế: Ông Trump đang thúc đẩy kế hoạch mới khiến các nhà kinh tế lo sợ | Hà Tĩnh TV
https://youtu.be/uecC7Aeh1UY","11","https://www.youtube.com/watch?v=N2ZXxHrcofQ","0","Điểm nóng quốc tế: Ông Trump dọa mạnh tay với các cá nhân gian lận bầu cử nếu tái đắc cử","comment",,"0"
