Source_Platform,URL,Content_Raw,Content_Cleaned,Like_count,Sentiment,Candidate,Target_Position,Field,Keyword
YouTube,https://www.youtube.com/watch?v=Wmd7ipB5KcY,Chào chú Nam và chú Minh chúc sức khỏe  cả gia đình quý ông bình an hạnh phúc vui ve ❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉,chào chú nam và chú minh chúc sức khỏe cả gia đình quý ông bình an hạnh phúc vui ve,6.0,Trung lập,Nguyễn Hòa Bình,Phó Thủ tướng,Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=1az716GSTsc,Ông Bùi tiến lợi tố cáo ông lương cường về vụ gì đó mọi người?,ông bùi tiến lợi tố cáo ông lương cường về vụ gì đó mọi người,0.0,Trung lập,Lương Cường,Chủ tịch nước,Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=F2J3Ab_-otc,"Lê Minh Hưng, không thể bởi quản lý tiền tệ dính vụ Trương Mỹ Lan, không thể nói là giỏi được",lê minh hưng không thể bởi quản lý tiền tệ dính vụ trương mỹ lan không thể nói là giỏi được,0.0,Trung lập,Lê Minh Hưng,Thủ tướng,Kinh tế - Tài chính,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=-fZ7HYCcCoo,"Nếu mà đã nhìn tới phát triển thì đừng nhìn vào thành tích, còn nếu mà cứ nhìn vào thành tích. Thì sau Tiger98 AFF08 U23Asian18 chúng ta có bao nhiêu cái thành tích mà đặt lên bàn cân được hay là những thành tích đạt được là không chính quy ? Nhiều khi tròn thêm cái 10 năm nữa người dân việt mới được đi bão 😅. Cũng vì sỹ diện thành tích mà bao nhiêu thần đồng phải bỏ đi rồi. Mấy bạn coi đá banh, mình coi dài hơi mà chứ phải coi cho vui, chứ phải đi ngắm cầu thủ đâu. Mà kiểu gì cũng nói được. Chúng ta phải chấp nhận nghe những lời nói mà chỉ ra vấn đề.",nếu mà đã nhìn tới phát triển thì đừng nhìn vào thành tích còn nếu mà cứ nhìn vào thành tích thì sau tiger98 aff08 u23asian18 chúng ta có bao nhiêu cái thành tích mà đặt lên bàn cân được hay là những thành tích đạt được là không chính quy nhiều khi tròn thêm cái 10 năm nữa người dân việt mới được đi bão cũng vì sỹ diện thành tích mà bao nhiêu thần đồng phải bỏ đi rồi mấy bạn coi đá banh mình coi dài hơi mà chứ phải coi cho vui chứ phải đi ngắm cầu thủ đâu mà kiểu gì cũng nói được chúng ta phải chấp nhận nghe những lời nói mà chỉ ra vấn đề,0.0,Trung lập,Phạm Minh Chính,Thủ tướng (Tái cử),Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=kscmV5U-3Hs,Chỉ còn Vương Đình Huệ sẽ lên làm Tổng Bí Thư Cộng Hoà Xã Hội Chủ Nghĩa Việt Nam.,chỉ còn vương đình huệ sẽ lên làm tổng bí thư cộng hoà xã hội chủ nghĩa việt nam,0.0,Trung lập,Tô Lâm,Tổng Bí thư / Chủ tịch nước,Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=kscmV5U-3Hs,"Trong tương lai Chức Tổng Bí Thư ,Thủ Tướng,Chủ Tịch Nước người dân bầu chọn nhiệm kỳ 4 năm kinh tế phát triển đời sống ấm no người dân sẽ đi bầu cử cho nhiệm kỳ tiếp theo không nên nắm quyền quá lâu.",trong tương lai chức tổng bí thư thủ tướng chủ tịch nước người dân bầu chọn nhiệm kỳ 4 năm kinh tế phát triển đời sống ấm no người dân sẽ đi bầu cử cho nhiệm kỳ tiếp theo không nên nắm quyền quá lâu,0.0,Trung lập,Tô Lâm,Tổng Bí thư / Chủ tịch nước,Nhân sự - Quyền lực,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=kscmV5U-3Hs,"Chuyện quá dễ hiểu , trung cộng chỉ cần nắm đầu bộ chính trị csvn là xong , để làm việc đó phải dựa vào bộ công an , Tô Lâm là một tên tàu biết nói tiếng việt , dần dần sẽ nắm quyền tổng bí thư kiêm chủ tịch nước, thế là nước việt nam ta đã nằm trong vòng tay âu yếm của tàu giống như hình ảnh tập cận bình ưu ái choàng vòng kim cô vào cổ ông Trọng , bây giờ ông T đã yếu rồi và cũng là lúc Tô Lâm xuất hiện theo kịch bản của Trung Quốc !",chuyện quá dễ hiểu trung cộng chỉ cần nắm đầu bộ chính trị csvn là xong để làm việc đó phải dựa vào bộ công an tô lâm là một tên tàu biết nói tiếng việt dần dần sẽ nắm quyền tổng bí thư kiêm chủ tịch nước thế là nước việt nam ta đã nằm trong vòng tay âu yếm của tàu giống như hình ảnh tập cận bình ưu ái choàng vòng kim cô vào cổ ông trọng bây giờ ông t đã yếu rồi và cũng là lúc tô lâm xuất hiện theo kịch bản của trung quốc,0.0,Trung lập,Tô Lâm,Tổng Bí thư / Chủ tịch nước,Nhân sự - Quyền lực,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=kscmV5U-3Hs,Tô lâm muốn lảnh đạo việt nam thì nên ở nhà cấp 4 sống đơn giản thì dân ủng hộ và bỏ qua miếng thich bò.,tô lâm muốn lảnh đạo việt nam thì nên ở nhà cấp 4 sống đơn giản thì dân ủng hộ và bỏ qua miếng thich bò,1.0,Tích cực,Tô Lâm,Tổng Bí thư / Chủ tịch nước,Khác,ủng hộ
YouTube,https://www.youtube.com/watch?v=kscmV5U-3Hs,Tô Lâm là Bộ trưởng siêu Bộ. Muốn ai lên muốn ai xuống là tôi. Kể cả BCT,tô lâm là bộ trưởng siêu bộ muốn ai lên muốn ai xuống là tôi kể cả bct,0.0,Trung lập,Tô Lâm,Tổng Bí thư / Chủ tịch nước,Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=g9D8cqN6Ldk,Một đất nước mà có những thẳng thẩm phán như thẳng Nguyễn Hòa Bình thì đàt nước đó không sớm thì muộn cũng sụp đổ vì án oan thẳng thẩm phán này trình độ chắc lớp quả,một đất nước mà có những thẳng thẩm phán như thẳng nguyễn hòa bình thì đàt nước đó không sớm thì muộn cũng sụp đổ vì án oan thẳng thẩm phán này trình độ chắc lớp quả,0.0,Trung lập,Nguyễn Hòa Bình,Phó Thủ tướng,Khác,Không có từ khóa tiêu biểu
YouTube,https://www.youtube.com/watch?v=g9D8cqN6Ldk,Hãy ủng hộ ông Lê Minh Trí thay cho thằng Nguyễn Hòa Bình gian dối để nhân dân không còn án oan nữa,hãy ủng hộ ông lê minh trí thay cho thằng nguyễn hòa bình gian dối để nhân dân không còn án oan nữa,1.0,Tích cực,Nguyễn Hòa Bình,Phó Thủ tướng,Khác,ủng hộ
